1;1;Agurain/Salvatierra;Agurain;Agurain/Salvatierra
2;1;Alegría-Dulantzi;Alegría-Dulantzi;Alegría-Dulantzi
3;1;Amurrio;Amurrio;Amurrio
4;1;Añana;Añana;Añana
5;1;Aramaio;Aramaio;Aramaio
6;1;Armiñón;Armiñón;Armiñón
7;1;Arraia-Maeztu;Arraia-Maeztu;Arraia-Maeztu
8;1;Arratzua-Ubarrundia;Arratzua-Ubarrundia;Arratzua-Ubarrundia
9;1;Artziniega;Artziniega;Artziniega
10;1;Asparrena;Asparrena;Asparrena
11;1;Aiara/Ayala;Aiara;Ayala/Aiara
12;1;Mañueta/Baños de Ebro;Mañueta;Baños de Ebro/Mañueta
13;1;Barrundia;Barrundia;Barrundia
14;1;Berantevilla;Berantevilla;Berantevilla
15;1;Bernedo;Bernedo;Bernedo
16;1;Kanpezu/Campezo;Kanpezu;Campezo/Kanpezu
17;1;Burgelu/Elburgo;Burgelu;Elburgo/Burgelu
18;1;Elciego;Elciego;Elciego
19;1;Elvillar/Bilar;Elvillar;Elvillar/Bilar
20;1;Erriberabeitia;Erriberabeitia;Erriberabeitia
21;1;Erriberagoitia/Ribera Alta;Erriberagoitia;Erriberagoitia/Ribera Alta
22;1;Harana/Valle de Arana;Harana;Harana/Valle de Arana
23;1;Iruña Oka/Iruña de Oca;Iruña Oka;Iruña Oka/Iruña de Oca
24;1;Iruraiz-Gauna;Iruraiz-Gauna;Iruraiz-Gauna
25;1;Kripan;Kripan;Kripan
26;1;Kuartango;Kuartango;Kuartango
27;1;Bastida/Labastida;Bastida;Labastida/Bastida
28;1;Lagrán;Lagrán;Lagrán
29;1;Laguardia;Laguardia;Laguardia
30;1;Lantziego/Lanciego;Lantziego;Lanciego/Lantziego
31;1;Lantarón;Lantarón;Lantarón
32;1;Lapuebla de Labarca;Lapuebla de Labarca;Lapuebla de Labarca
33;1;Llodio/Laudio;Llodio;Laudio/Llodio
34;1;Legutio;Legutio;Legutio
35;1;Leza;Leza;Leza
36;1;Moreda Araba/Moreda de Álava;Moreda Araba;Moreda de Álava/Moreda Araba
37;1;Navaridas;Navaridas;Navaridas
38;1;Okondo;Okondo;Okondo
39;1;Oyón-Oion;Oyón-Oion;Oyón-Oion
40;1;Peñacerrada-Urizaharra;Peñacerrada-Urizaharra;Peñacerrada-Urizaharra
41;1;Samaniego;Samaniego;Samaniego
42;1;Donemiliaga/San Millán;Donemiliaga;San Millán/Donemiliaga
43;1;Urkabustaiz;Urkabustaiz;Urkabustaiz
44;1;Gaubea/Valdegovía;Gaubea;Valdegovía/Gaubea
45;1;Eskuernaga/Villabuena de Álava;Eskuernaga;Villabuena de Álava/Eskuernaga
46;1;Vitoria-Gasteiz;Vitoria-Gasteiz;Vitoria-Gasteiz
47;1;Iekora/Yécora;Iekora;Yécora/Iekora
48;1;Zalduondo;Zalduondo;Zalduondo
49;1;Zambrana;Zambrana;Zambrana
50;1;Zigoitia;Zigoitia;Zigoitia
51;1;Zuia;Zuia;Zuia
52;2;Abengibre;Abengibre;Abengibre
53;2;Alatoz;Alatoz;Alatoz
